iter	Passed	Remaining
1580	96856	25669
1581	96923	25609
1582	96986	25548
1583	97046	25486
1584	97113	25427
1585	97180	25367
1586	97243	25306
1587	97292	25242
1588	97340	25177
1589	97399	25115
1590	97464	25055
1591	97520	24992
1592	97576	24930
1593	97640	24869
1594	97700	24807
1595	97755	24745
1596	97816	24683
1597	97873	24621
1598	97941	24561
1599	98008	24502
1600	98065	24439
1601	98166	24388
1602	98223	24326
1603	98285	24264
1604	98341	24202
1605	98405	24141
1606	98462	24079
1607	98520	24017
1608	98578	23955
1609	98647	23896
1610	98717	23836
1611	98791	23778
1612	98874	23722
1613	98949	23664
1614	99023	23606
1615	99102	23549
1616	99161	23487
1617	99225	23426
1618	99286	23365
1619	99340	23302
1620	99402	23240
1621	99465	23179
1622	99538	23121
1623	99623	23065
1624	99689	23005
1625	99754	22944
1626	99820	22884
1627	99889	22824
1628	99953	22764
1629	100007	22701
1630	100081	22642
1631	100155	22583
1632	100218	22522
1633	100277	22461
1634	100343	22400
1635	100404	22339
1636	100462	22277
1637	100523	22215
1638	100584	22154
1639	100651	22094
1640	100724	22035
1641	100776	21972
1642	100838	21910
1643	100900	21849
1644	100967	21789
1645	101026	21727
1646	101085	21665
1647	101139	21602
1648	101203	21541
1649	101265	21480
1650	101319	21417
1651	101378	21355
1652	101446	21295
1653	101506	21234
1654	101564	21172
1655	101638	21113
1656	101704	21052
1657	101772	20992
1658	101834	20931
